id,title,classification,active,source_status,flags,audit_reason,source_category
procedure-registration-primary,2026 Registration Instructions — Manager Procedure,Job procedure,False,manager-provided,,Mixed a valid registration workflow with one employee’s personal monitor/browser arrangement. Replaced in Job Procedures by the clean workflow generated from the Current Ticket checklist.,Accounts & Registration
procedure-1,Registration for E-Filing Portal Website Access,Quick message,True,review-pending,review-pending; changeable account rules,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Accounts & Registration
procedure-2,Funky Username – (Probably corrupted from their browser?),Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Technical Troubleshooting
procedure-3,Roles that cannot initiate a filing in the Portal,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
procedure-4,Password Reset / Inactive/Locked message for portal account,Quick message,False,review-pending,sensitive; mixed; conflicting; review-pending,"Contains several unrelated account messages, sensitive activation language, and conflicting password-length requirements. It should be split and manager-approved before reuse.",Accounts & Registration
procedure-5,Profile Changes,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Accounts & Registration
procedure-6,"I filed, what are my next steps?",Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
procedure-7,On the Case Parties/Roles set up:,Quick message,False,review-pending,review-pending,Duplicate/shorter version of the active Case Parties/Roles message (procedure-87).,Filing Workflow
procedure-8,Documents not showing on the docket,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Documents & Uploads
procedure-9,Work Bench Explanation,Reference note,True,manager-provided,,"Explanatory facts, limits, definitions, or background information rather than a workflow.",Filing Workflow
procedure-10,Can I file my case on the website?,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
procedure-11,Pro Hac Vice- Register & Filing,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Accounts & Registration
procedure-12,Changes to Attorney Portal account when moved to another firm (when emails do not match FL Bar website),Quick message,True,review-pending,review-pending; changeable account rules,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Accounts & Registration
procedure-13,Request to consolidate/merge accounts,Quick message,False,manager-provided,mixed; legal-boundary,Combines account-consolidation guidance with unrelated divorce/jurisdiction research language. Not safe as a single active message.,Accounts & Registration
procedure-14,Please contact the Clerk of the Court,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
procedure-15,Data Collecting when something wrong happens on the website,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
procedure-16,Change Docket Information/ Rescind or Remove from,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Documents & Uploads
procedure-17,How to correct when filed Under the Wrong Attorney,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Cases & Docket
procedure-18,Filed under the wrong county,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Cases & Docket
procedure-19,Troubleshooting – Browsers,Troubleshooting,False,manager-provided,,Merged into the dedicated browser/session troubleshooting cards to avoid duplicate instructions.,Technical Troubleshooting
procedure-20,CourtMAPs,Reference note,False,manager-provided,,Incomplete stub that refers to a missing Word document and contains no usable procedure.,Filing Workflow
procedure-21,Unknown Charges:,Quick message,True,review-pending,review-pending,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Payments & Fees
procedure-22,My Cases- Case does not populate:,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Cases & Docket
procedure-23,Case Number Breakdown,Reference note,True,manager-provided,,"Explanatory facts, limits, definitions, or background information rather than a workflow.",Cases & Docket
procedure-24,Proposed documents in “Transmitted” status,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Documents & Uploads
procedure-25,Cannot make changes to the docket,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Cases & Docket
procedure-26,* Formatting /Conversion Issues resulting in:,Troubleshooting,True,manager-provided,,Diagnostic or remediation steps for a technical symptom.,Documents & Uploads
procedure-27,Documents will not upload- says 100% but can go no further,Known issue,False,manager-provided,,Merged into the existing “Upload remains at 100%” Known Issue card.,Documents & Uploads
procedure-28,Florida Supreme Court Standards for Electronic Filing to the Courts,Reference note,True,manager-provided,changeable technical limits,"Explanatory facts, limits, definitions, or background information rather than a workflow.",Filing Workflow
procedure-29,Lawyer is Attorney Of Record- but not listed on docket (Cannot access documents),Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Documents & Uploads
procedure-30,Civil Cover Sheet Missing Error Message,Known issue,True,review-pending,review-pending,"Symptom-specific error, defect, or workaround that must be verified before association.",Filing Workflow
procedure-31,How a filing is processed through the portal to the clerk:,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
procedure-32,Confidential case access or filing information,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Documents & Uploads
procedure-33,Useful websites:,Reference note,False,manager-provided,external-tool; legal-boundary; mixed,"Mixes Portal links, third-party conversion sites, and general legal/form research suggestions. External tools and scope need approval before use.",Filing Workflow
procedure-34,Docket access,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Cases & Docket
procedure-35,When Payments aren’t processing at all,Troubleshooting,True,review-pending,review-pending; changeable domains,Diagnostic or remediation steps for a technical symptom.,Payments & Fees
procedure-36,Bounce Back Issues,Troubleshooting,True,manager-provided,,Diagnostic or remediation steps for a technical symptom.,eService & Email
procedure-37,Functionability:,Quick message,True,internal-note,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Technical Troubleshooting
procedure-38,Response to issues we are aware of and working on correcting:,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
procedure-39,Deleting the Saved form of payment type:,Troubleshooting,True,incident-specific,incident-specific,Diagnostic or remediation steps for a technical symptom.,Payments & Fees
procedure-40,Save Button issues on Pasco County filings,Known issue,True,county-specific,county-specific; changeable workaround,"Symptom-specific error, defect, or workaround that must be verified before association.",Technical Troubleshooting
procedure-41,DIY Filings Questions,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
procedure-42,Document #2 is incomplete error,Known issue,True,manager-provided,,"Symptom-specific error, defect, or workaround that must be verified before association.",Documents & Uploads
procedure-43,Things you need to know before filing a new case:,Quick message,True,manager-provided,,Reusable customer-facing or Ivanti wording rather than a staff rule or procedure.,Filing Workflow
