collection,id,audience,status,original_title,polished_title,original_text,polished_text
Curated Quick Message,qr-2-3,Customer,customer-approved,Standard greeting and Portal scope,Standard greeting and Portal Support scope,"Hello, and thank you for contacting the E-Filing Portal website MyFLCourtAccess.com Help Desk.
As we are not the Clerk of the Courts, we can only answer questions related to navigating the e-filing website MyFLCourtAccess.com to upload documentation.","Hello, and thank you for contacting the Florida Courts E-Filing Portal Help Desk.

Portal Support can assist with technical and navigational questions about MyFLCourtAccess.com, including submitting documents through the Portal. Questions about court forms, filing procedure, docket access, or action by the court must be directed to the applicable Clerk of Court."
Curated Quick Message,qr-5-6,Customer,review-pending,Do not reply / submit a new request,Submit a new Help Desk request,"Please do not reply to this email.If you have any additional inquiries as it pertains to e-filing or if the issue is unresolved, you can send in a request to the help desk by going to the website:
https://www.myflcourtaccess.com/Common/UIPages/Contactus.aspx","Please do not reply to this email. If the issue remains unresolved or you need additional E-Filing Portal assistance, submit a new Help Desk request at:
https://www.myflcourtaccess.com/Common/UIPages/Contactus.aspx"
Curated Quick Message,qr-8-8,Internal,internal-note,Clerk referral logged,Clerk referral documented,"Referring to contact the Clerk &/or visit the clerk website for: access to documents, information on forms &/or procedural guidance.","Referred the filer to the applicable Clerk of Court or Clerk website for document access, court forms, or procedural guidance."
Curated Quick Message,qr-9-9,Internal,internal-note,New-case filing guidance sent,New-case filing guidance sent,Emailed guidance on how to- navigate the website to file documentation for a new case.,Sent the customer the approved instructions for navigating the Portal to submit documents for a new case.
Curated Quick Message,qr-11-11,Internal,internal-note,Existing-case filing guidance sent,Existing-case filing guidance sent,Emailed guidance on how to- file documentation to an existing case.,Sent the customer the approved instructions for navigating the Portal to submit documents to an existing case.
Curated Quick Message,qr-12-12,Internal,internal-note,Registration and existing-case guidance sent,Registration and existing-case guidance sent,Emailed guidance on registration & how to- file documentation to an existing case.,Sent the customer the approved registration instructions and guidance for submitting documents to an existing case.
Curated Quick Message,qr-13-13,Internal,internal-note,Oversized-document instructions sent,Oversized-document guidance sent,Emailed instructions for resizing oversized documents.,Sent the customer the approved instructions for resizing an oversized document before upload.
Curated Quick Message,qr-15-16,Customer,review-pending,Do not use DIY module,Use the standard filing method instead of DIY,"Please do not use the DIY module for your filing. There may be an issue with it at this time.
Please use the guidance for the standard method outlined below.","Please do not use the DIY module for this filing while the reported issue is under review. Use the standard filing method described in the instructions below.

Confirm that this direction is still current before sending."
Curated Quick Message,qr-18-18,Internal,internal-note,Username and password-reset instructions sent,Username and password-reset guidance sent,Emailed the account username with password reset instructions.,"Sent the verified username and the current manager-approved password-reset instructions. No password was requested, copied, or recorded."
Curated Quick Message,qr-19-21,Customer,sensitive,Account activated / temporary-password email,Account activated,"I have activated your account.
An email was sent to your email address with a [Sensitive temporary-password wording removed. Follow the current manager-approved secure procedure.]

The system will force you to change your password when you log in.","Your Portal account has been activated. An account-status message has been sent to the email address on file. Follow the secure instructions in that message.

The Portal will require you to create a new password when you next sign in."
Curated Quick Message,qr-23-23,Internal,internal-note,Court Maps registration guidance sent,CourtMAP registration guidance sent,Emailed guidance on registration & how to- file documentation to an existing case as it pertains to the process to obtain Court Maps registration.,Sent the customer the approved registration and existing-case filing guidance used for the CourtMAP registration process.
Curated Quick Message,qr-25-26,Customer,customer-approved,Cannot forward filing to Clerk or Judge,Portal Support cannot file or forward documents,"This is your notice that I cannot process the information from your email to your case, forward to the Clerk of the Courts, nor to the Judge.
Your options are to file in person, by mail, or use the instructions below to file to your case.","Portal Support cannot file documents on your behalf or forward email attachments to the Clerk of Court or the judge.

You may submit the documents through the Portal using the instructions below. For other permitted filing methods, such as filing in person or by mail, contact the applicable Clerk of Court."
Curated Quick Message,qr-28-28,Internal,internal-note,Filer self-resolved,Filer self-resolved,The filer has self-resolved and will contact the portal again if assistance is needed.,The filer reported that the issue was resolved and will contact Portal Support again if additional assistance is needed.
Curated Quick Message,qr-30-30,Internal,internal-note,Domestic Relations / Family classification,Domestic Relations / Family classification,Domestic Relations/Family (DR),Classified the request as Domestic Relations/Family (DR).
Curated Quick Message,qr-32-32,Internal,internal-note,Voicemail left,Voicemail left,Left a voicemail message with call back information.,Left a voicemail with callback information.
Curated Quick Message,qr-34-34,Internal,internal-note,Spoke with filer,Spoke with filer,spoke with filer to determine the information they needed.,Spoke with the filer to clarify the request and determine the assistance needed.
Curated Quick Message,qr-36-39,Customer,customer-approved,Portal cannot provide official docket access,Official docket access is controlled by the Clerk,"The e-filing portal website is not the county clerk or an entity that can give access to the docket, nor its filings
due to the legal limitations we are to work within.
Please use the county clerk's website to pull up the docket.
If you are not able to access the document(s), you may need to contact the clerk to ask what their procedure is to request access.","The E-Filing Portal is not the county Clerk of Court and cannot provide access to the official docket or docketed documents.

Please use the applicable Clerk of Court website to search the case. If the documents are not available there, contact the Clerk to ask about its document-access procedure."
Curated Quick Message,qr-41-43,Customer,evidence-gated,My Submissions and Clerk docket processing,My Submissions status and Clerk docket processing,"If you open your portal account, scroll to the upper right, and click on My Submissions, it will give you the status of your filings.
This means the clerk has accepted your filings and will upload the images to the docket once it travels through their system.
The e-filing portal does not auto upload directly to the docket. The uploading is a function completed by the Clerk of the Courts office.","Sign in to your Portal account and select My Submissions in the upper-right area to review the current Portal status of your filing.

A status of Accepted indicates that the Clerk accepted the submission through the Portal. Posting the documents to the official docket is a separate Clerk-controlled process and may occur later."
Curated Quick Message,qr-45-47,Customer,customer-approved,Request filing number from service email,Request the Portal filing number from the service email,"Please advise of the filing number that was on the service of court documents email that you received.
I need to make sure this is not a clerk or judge pulling information from their internal database, instead of the portal.
If there is no filing number at the upper left of the document in the email you received, it is not a portal issue, and you will need to work with the Clerk of the JA to get it sorted.","Please provide the nine-digit filing number shown near the upper-left area of the service email or attached document.

The filing number helps us determine whether the message originated from the E-Filing Portal. If no Portal filing number appears, the message may have originated from a Clerk or judicial system, and you may need to contact the applicable Clerk or Judicial Assistant."
Curated Quick Message,qr-49-55,Customer,customer-approved,Docket-access investigation questions,Information needed for a docket-access issue,"To assist you with this issue. I need the following information:
County the case is being filed in:
Is this a new case or existing?
If existing, what is the case number?
Doc# from the docket you are trying to access with description of document:
Your attorney's bar#:
Verify the website address you are using to try and access the docket from:","To investigate the issue, please provide:

• County where the case is or will be filed
• Whether this is a new or existing case
• Case number, if one exists
• Docket document number and document description
• Attorney's Florida Bar number, when applicable
• Website address being used to access the docket
• Exact error message or result"
Curated Quick Message,qr-57-63,Internal,internal-note,Spanish-speaker intake information,Spanish-language assistance intake,"For Cat's team doing the Spanish speaker needed.
Please contact and gather information.
Full name:
email:
County case is filed in or will be filing in:
Case number if one exists (or citation# if traffic):
Type of assistance needed:","Spanish-language assistance requested. Please contact the customer and collect:

• Full name
• Email address
• County where the case is or will be filed
• Case number, or citation number for a traffic matter
• Type of assistance needed
• Preferred callback number"
Curated Quick Message,qr-65-65,Internal,internal-note,Troubleshooting sent,Troubleshooting guidance sent,Emailed troubleshooting / alternative steps for the encountered issue.,Sent the customer the applicable troubleshooting and alternate-step guidance for the reported issue.
Curated Quick Message,qr-67-67,Internal,internal-note,eService removal instructions sent,eService removal guidance sent,Emailed eService removal instructions when hand keyed in by another party,Sent the approved eService removal instructions for an address that had been entered manually by another party.
Curated Quick Message,qr-69-69,Internal,internal-note,Adyen payment information sent,Adyen payment information sent,Emailed the Adyen drop in payment processor information,Sent the customer the approved information about the Adyen payment interface.
Curated Quick Message,qr-71-71,Customer,evidence-gated,Issue escalated to Analyst team,Issue escalated to the Analyst team,"Your reported issue has been turned over to the analyst team. As soon as I have a resolution for you, I will contact you.","Your reported issue has been escalated to our Analyst team for further review. I will update you when additional information or a resolution becomes available.

No resolution time has been confirmed."
Curated Quick Message,qr-73-73,Internal,internal-note,Portal Service Desk team pinged,Portal Service Desk update requested,Pinged portal service desk team asking for a response to post,Requested an update from the Portal Service Desk team for posting to the ticket.
Curated Quick Message,qr-75-75,Internal,internal-note,Correction Queue instructions sent,Correction Queue guidance sent,Emailed corrections queue tips and instructions,Sent the customer the approved Correction Queue tips and instructions.
Curated Quick Message,qr-77-77,Customer,evidence-gated,Waiting for fee to be added,Waiting for the required fee to be added,"As soon as team can add the fee in, I will notify you so you can correct and resubmit the filing.","The filing is awaiting the required fee configuration. I will notify you when the fee is available so you can correct and resubmit the filing.

Use only after confirming the filing and fee status."
Curated Quick Message,qr-79-79,Customer,fragment,Do you still need assistance?,Follow up on unresolved assistance,"Do you still need assistance? If so,","Do you still need assistance with this issue? If so, please provide the current status and any new error message or screenshot."
Curated Quick Message,qr-81-81,Customer,review-pending,DIY alternative: file a court document,Standard filing alternative to the DIY module,"Instead of using the DIY, you can also have your response formatted as a court document (see google or other search engine, and use the file to existing case instructions)","Instead of using the DIY module, you may prepare the response as a court-formatted PDF and submit it using the File to Existing Case instructions.

Portal Support cannot determine which form or document content is appropriate. Contact the applicable Clerk of Court for procedural guidance before filing."
Curated Quick Message,qr-83-89,Customer,customer-approved,Filing-instruction intake questions,Information needed to provide filing instructions,"The following questions will help me to determine which instructions you may need to use to file.
Are you trying to use the DIY with Interview module on the website?
Are you filing a new case or to an existing?
What county:
If new- What type of case are you filing for:
Case# if existing:
What is the name of the document you want to file?","To determine which Portal instructions apply, please provide:

• Are you using the DIY/Interview module?
• Are you filing a new case or submitting to an existing case?
• County where the case is or will be filed
• Case type, if this is a new case
• Case number, if this is an existing case
• Name of the document you want to submit
• Exact point where you need assistance"
Curated Quick Message,qr-91-94,Customer,customer-approved,"Case, county, and Bar-number request","Request case, county, and Bar information","Please send back the following information for me to be able to assist you:
Case number:
County filed in:
Your attorney's bar#:","Please provide the following information so I can investigate:

• Case number
• County where the case is filed
• Attorney's Florida Bar number, when applicable"
Curated Quick Message,qr-97-98,Customer,incident-specific,First-come response-time notice,Current response-time notice,"We respond to tickets/request/issues (created by email/voicemail) on a first come, first serve basis, and in the order it was received.
At this time, our response is 24 hours out.","Help Desk requests are handled in the order received. Our current estimated response time is [insert current approved estimate].

Confirm the current estimate before sending this message."
Curated Quick Message,qr-100-106,Customer,review-pending,Confidential case / summons fee limitation,Confidential-case party and fee limitation,"You will need to contact the clerk’s office for assistance with this issue.
Currently, the Portal will not allow you to select a party you are filing behalf of on confidential cases as no parties display.
This is a requirement when there is a filing fee and unfortunately, no way around it.
This has been brought to our attention, and we are working on ways to correct this issue.
The county will need to allow you to file your Summons under a different doc type that does not charge a fee and then accept payment for the
summons fee outside of the Portal.
Please let me know if you have any further questions.","The Portal may not display case parties for a confidential case. When the filing requires both a party selection and a fee, the Portal may not support completion of that submission.

Please contact the applicable Clerk of Court to confirm the permitted document type and payment method. Do not select an alternate document type unless the Clerk specifically directs you to do so."
Curated Quick Message,qr-108-111,Customer,incident-specific,Resolved FCCC network-issue notice,Resolved FCCC network incident notice,"Yesterday, the Florida Court Clerks & Comptrollers (FCCC) were experiencing network issues affecting several of our key systems,
including CCIS, ePortal, eCLERC, MyFloridaCounty, and Civitek Jury applications.
Our IT Operations team has resolved the issue and all systems are operating.
We did post this on the website yesterday:","On [date], Florida Court Clerks & Comptrollers experienced a network incident that affected [verified systems]. IT Operations has reported that the incident is resolved and the affected systems are operating normally.

Confirm the current incident status and affected systems before sending."
Curated Quick Message,qr-113-115,Customer,incident-specific,Technical-issue assistance delay,Temporary assistance-delay notice,"Hello,
I apologize, but due to the technical issues the portal experienced yesterday, we do not have anyone available to walk you through the filing or to contact you to assist with your issue for at least 3-4 business days.
Thank you for your patience.","We apologize for the delay caused by the recent Portal incident. Our current estimated time for guided assistance is [insert current approved timeframe].

Thank you for your patience. Confirm the timeframe before sending."
Curated Quick Message,qr-117-117,Customer,customer-approved,Generic instructions / dropdown limitation,General instructions and filing-choice boundary,"Please use the generic instructions below to file. We cannot give you exact information on what drop downs to use, because legally, we are limited to the amount of information we can provide.","I can provide general instructions for navigating the Portal, but Portal Support cannot select the exact form, division, case type, subtype, or filing dropdowns for you.

Please confirm those filing choices with the applicable Clerk of Court, then use the Portal instructions below to submit the documents."
Curated Quick Message,qr-119-121,Customer,sensitive,Pending-to-active temporary password,Pending account changed to Active,"An email was sent user with a notification of account status change from ""Pending"" to ""Active"".
On your next log in, the system will force you to change the password.
The [Sensitive temporary-password wording removed. Follow the current manager-approved secure procedure.]","An account-status message was sent to the customer confirming that the Portal account changed from Pending to Active.

The customer should follow the current manager-approved secure activation procedure. The Portal will require a password change at the next sign-in."
Curated Quick Message,qr-123-125,Customer,county-specific,Hillsborough HOVER and docket images,Hillsborough docket access and HOVER,"Hillsborough may have you access the docket through their system called HOVER from their website.
I have seen a lot of dockets through the e-filing portal where the images for filings do not appear on the docket.
This is a Clerk action, not a portal action. If you are able to get to the docket and are not able open the image icons next to the description, please see the below restrictions.","Hillsborough County may provide docket access through its HOVER system. Confirm the current county process before sending this message.

If docket images do not open through the Portal or HOVER, contact the Hillsborough Clerk of Court for document access. Docket images and access restrictions are controlled by the Clerk, not Portal Support."
